169561;10mm|100 x 75;0;0
284238;10mm|1000 x 1000;1000;1000
238463;10mm|1000 x 300;1000;300
255476;10mm|1000 x 400;1000;400
359419;10mm|1000 x 500;1000;500
563692;10mm|1000 x 700;1000;700
413690;10mm|105 x 70;0;0
932191;10mm|120 x 120;0;0
660235;10mm|120 x 80;0;0
864620;10mm|120 x 90;0;0
217244;10mm|1200 x 300;1200;300
383585;10mm|1200 x 400;1200;400
834678;10mm|1200 x 500;1200;500
296793;10mm|130 x 28;130;28
409939;10mm|130 x 50;0;0
174613;10mm|140 x 100;0;0
591880;10mm|140 x 140;0;0
107817;10mm|140 x 50;0;0
891366;10mm|148 x 105;148;1050
361085;10mm|150 x 100;150;100
131751;10mm|150 x 150;150;150
478854;10mm|150 x 37;150;37
178736;10mm|150 x 38;150;38
360306;10mm|150 x 50;0;0
382919;10mm|150 x 83;150;83
623191;10mm|150x50;150;50
659899;10mm|170 x 60;0;0
946520;10mm|180 x 135;0;0
859340;10mm|180 x 60;0;0
590982;10mm|182 x 39;182;39
778434;10mm|200 x 120;0;0
334783;10mm|200 x 133;0;0
400800;10mm|200 x 140;0;0
299010;10mm|200 x 150;0;0
167696;10mm|200 x 60;0;0
690061;10mm|200 x 80;0;0
266676;10mm|210 x 115;210;115
689722;10mm|210 x 140;210;140
354973;10mm|210 x 210;210;210
705348;10mm|210 x 53;210;53
852526;10mm|210 X 70;210;70
368446;10mm|220 x 80;0;0
246272;10mm|250 x 100;0;0
505815;10mm|250 x 166;0;0
197194;10mm|250 x 190;0;0
581191;10mm|250 x 250;250;250
972267;10mm|250 x 80;0;0
805583;10mm|260 x 55;260;55
850093;10mm|300 x 100;300;100
929887;10mm|300 x 120;0;0
207746;10mm|300 x 150;0;0
366323;10mm|300 x 166;300;166
848120;10mm|300 x 200;0;0
279771;10mm|300 x 300;300;300
778516;10mm|300 x 75;300;75
722083;10mm|350 x 350;350;350
617403;10mm|364 x77;364;77
733862;10mm|400 x 300;400;300
255915;10mm|400 x 400;400;400
235290;10mm|420 x 105;420;105
858049;10mm|420 x 231;420;231
255097;10mm|420 x 420;420;420
833910;10mm|420 x140;420;140
270542;10mm|420x280;420;280
921971;10mm|45 x 30;0;0
752953;10mm|450 x 112;450;112
507228;10mm|500 x 350;500;350
804849;10mm|500 x 500;500;500
578828;10mm|520 x 110;520;110
353876;10mm|550 x 135;550;135
138534;10mm|60 x 45;0;0
328852;10mm|600 x 150;600;150
881848;10mm|600 x 200;600;200
633485;10mm|600 x 300;600;300
242590;10mm|600 x 330;600;330
594413;10mm|600 x 400;600;400
727675;10mm|600 x 600;600;600
264673;10mm|700 x 200;700;200
406233;10mm|700 x 300;700;300
938354;10mm|700 x 500;700;500
489178;10mm|700 x 700;700;700
605445;10mm|720 x 154;720;154
579998;10mm|75 x 50;0;0
391023;10mm|80 x 60;0;0
234470;10mm|800 x 200;800;200
130261;10mm|800 x 300;800;300
578781;10mm|800 x 400;800;400
427699;10mm|840 x 210;840;210
854409;10mm|840 x 280;840;280
629628;10mm|840 x 462;840;462
750732;10mm|840 x 840;840;840
241263;10mm|840x560;840;560
676537;10mm|900 x 225;900;225
674678;10mm|900 x 300;900;300
738276;10mm|900 x 600;900;600
515672;10mm|DIN A0;1188;841
963056;10mm|DIN A1;841;594
270164;10mm|DIN A2;594;420
197673;10mm|DIN A3;420;297
849509;10mm|DIN A4;297;210
196130;10mm|DIN A5;210;148
176269;10mm|DIN A6;148;105
947973;3mm|1000 x 1000;1000;1000
907290;3mm|1000 x 300;1000;300
434126;3mm|1000 x 400;1000;400
126161;3mm|1000 x 500;1000;500
291670;3mm|1000 x 700;1000;700
976612;3mm|105 x 70;0;0
137571;3mm|120 x 120;0;0
488691;3mm|120 x 80;0;0
207122;3mm|120 x 90;0;0
389271;3mm|1200 x 300;1200;300
165899;3mm|1200 x 400;1200;400
868768;3mm|1200 x 500;1200;500
655356;3mm|130 x 50;0;0
919377;3mm|140 x 100;0;0
492412;3mm|140 x 105;0;0
672266;3mm|140 x 140;0;0
717764;3mm|140 x 50;0;0
507408;3mm|150 x 100;0;0
988266;3mm|150 x 37;0;0
146210;3mm|150 x 50;0;0
950780;3mm|170 x 60;0;0
912538;3mm|180 x 135;0;0
489161;3mm|180 x 60;0;0
390737;3mm|200 x 120;0;0
644110;3mm|200 x 133;0;0
462503;3mm|200 x 140;0;0
354181;3mm|200 x 150;0;0
874070;3mm|200 x 60;0;0
424338;3mm|200 x 80;0;0
190567;3mm|220 x 80;0;0
743979;3mm|250 x 100;0;0
762981;3mm|250 x 166;0;0
268112;3mm|250 x 190;0;0
673168;3mm|250 x 250;250;250
258917;3mm|250 x 80;0;0
686741;3mm|300 x 100;0;0
303606;3mm|300 x 120;0;0
305555;3mm|300 x 150;0;0
207035;3mm|300 x 200;300;200
245788;3mm|300 x 200;0;0
150603;3mm|300 x 300;300;300
550230;3mm|300 x 75;0;0
231556;3mm|350 x 350;350;350
126217;3mm|400 x 300;400;300
625684;3mm|400 x 400;400;400
889432;3mm|45 x 30;0;0
283812;3mm|450 x 112;0;0
724213;3mm|500 x 350;500;350
491742;3mm|500 x 500;500;500
305741;3mm|60 x 45;0;0
489469;3mm|600 x 150;0;0
271174;3mm|600 x 200;600;200
756785;3mm|600 x 300;600;300
702766;3mm|600 x 400;600;400
261773;3mm|600 x 600;600;600
427832;3mm|700 x 200;700;200
581519;3mm|700 x 300;700;300
496941;3mm|700 x 500;700;500
358124;3mm|700 x 700;700;700
691766;3mm|75 x 50;0;0
296051;3mm|80 x 60;0;0
800495;3mm|800 x 300;800;300
318737;3mm|800 x 400;800;400
777590;3mm|900 x 225;0;0
709488;3mm|900 x 300;900;300
634970;3mm|900 x 600;900;600
971198;3mm|DIN A0;1188;841
382410;3mm|DIN A1;841;594
460777;3mm|DIN A2;594;420
216702;3mm|DIN A3;420;297
811215;3mm|DIN A4;297;210
187989;3mm|DIN A5;210;148
376201;3mm|DIN A6;148;105
761465;5mm|100 x 75;0;0
610879;5mm|1000 x 1000;1000;1000
430600;5mm|1000 x 300;1000;300
985546;5mm|1000 x 400;1000;400
205300;5mm|1000 x 500;1000;500
520614;5mm|1000 x 700;1000;700
836315;5mm|105 x 70;0;0
423769;5mm|120 x 120;0;0
876228;5mm|120 x 80;0;0
492899;5mm|120 x 90;0;0
709111;5mm|1200 x 300;1200;300
926244;5mm|1200 x 400;1200;400
510837;5mm|1200 x 500;1200;500
433329;5mm|130 x 28;130;28
813403;5mm|130 x 50;0;0
585993;5mm|140 x 100;0;0
873949;5mm|140 x 105;0;0
801847;5mm|140 x 140;0;0
294454;5mm|140 x 50;0;0
928274;5mm|150 x 10;150;10
218523;5mm|150 x 100;150;100
985245;5mm|150 x 150;150;150
621394;5mm|150 x 37;150;37
916465;5mm|150 x 38;150;38
251630;5mm|150 x 50;150;50
834398;5mm|150x 83;150;83
454042;5mm|170 x 60;0;0
552335;5mm|180 x 135;0;0
398466;5mm|180 x 60;0;0
473106;5mm|182 x 39;182;39
832982;5mm|200 x 120;0;0
295345;5mm|200 x 133;0;0
651816;5mm|200 x 140;0;0
481899;5mm|200 x 150;0;0
937750;5mm|200 x 200;200;200
640377;5mm|200 x 60;0;0
874169;5mm|200 x 80;0;0
423297;5mm|210 x 115;210;115
132682;5mm|210 x 140;210;140
975968;5mm|210 x 210;210;210
480247;5mm|210 x 53;210;53
241236;5mm|210 X 70;210;70
423993;5mm|220 x 80;0;0
732945;5mm|250 x 100;0;0
773576;5mm|250 x 166;0;0
125067;5mm|250 x 190;0;0
226587;5mm|250 x 250;250;250
821324;5mm|250 x 400;0;0
917083;5mm|250 x 80;0;0
289270;5mm|260 x 55;260;55
732308;5mm|280 x 65;0;0
912304;5mm|294x 420;0;0
427632;5mm|30 x 20;0;0
345529;5mm|300 x 100;300;100
255601;5mm|300 x 120;0;0
505868;5mm|300 x 150;0;0
313308;5mm|300 x 166;300;166
906419;5mm|300 x 200;300;200
403756;5mm|300 x 300;300;300
244920;5mm|300 x 75;0;0
333949;5mm|300 x 75;300;75
263625;5mm|350 x 350;350;350
619907;5mm|364 x77;364;77
853256;5mm|40 x 15;0;0
469900;5mm|400 x 300;400;300
333846;5mm|400 x 400;400;400
682314;5mm|400 x 640;0;0
199031;5mm|420 x 105;420;105
340170;5mm|420 x 231;420;231
550529;5mm|420 x 280;420;280
319388;5mm|420 x140;420;140
866310;5mm|420x 420;420;420
413217;5mm|45 x 30;0;0
120964;5mm|450 x 112;0;0
238887;5mm|450 x 300;0;0
564192;5mm|500 x 350;500;350
399439;5mm|500 x 500;500;500
718961;5mm|520 x 110;520;110
299013;5mm|520 x 115;0;0
949996;5mm|550 x 135;550;135
124955;5mm|60 x 45;0;0
564007;5mm|600 x 150;600;150
545735;5mm|600 x 200;600;200
978823;5mm|600 x 300;600;300
591054;5mm|600 x 330;600;330
442935;5mm|600 x 400;600;400
686837;5mm|600 x 600;600;600
287012;5mm|700 x 200;700;200
636972;5mm|700 x 300;700;300
769244;5mm|700 x 500;700;500
539556;5mm|700 x 700;700;700
918952;5mm|720 x 154;720;154
322423;5mm|75 x 50;0;0
904442;5mm|80 x 60;0;0
930744;5mm|800 x 200;800;200
281236;5mm|800 x 300;800;300
454063;5mm|800 x 400;800;400
123537;5mm|840 x 210;840;210
435626;5mm|840 x 280;840;280
606344;5mm|840 x 462;840;462
764956;5mm|840 x 840;840;840
579657;5mm|840x560;840;560
988718;5mm|900 x 225;900;225
300605;5mm|900 x 300;900;300
900807;5mm|900x 600;900;600
554102;5mm|DIN A0;1188;841
354189;5mm|DIN A1;841;594
217787;5mm|DIN A2;594;420
634200;5mm|DIN A3;420;297
265143;5mm|DIN A4;297;210
474201;5mm|DIN A5;210;148
876486;5mm|DIN A6;148;105
